32
0	1914	1156	1882	1407	1418	1820	1860	1637	2017	1772	1570	1313	1569	1277	2002	1298	1420	1837	1294	1459	1311	1707	1273	1647	1488	1483	1965	1947	1844	1734	1566	
1914	0	1564	1989	1966	1975	1257	1219	1228	1467	1384	1822	1286	1182	1793	1693	1591	1929	1119	1453	1651	1705	1209	1960	1685	1329	1163	1027	1715	1753	1741	1154	
1156	1564	0	1073	1547	1199	1480	1709	1605	1171	1918	1716	1340	1280	1804	1718	1424	1985	1877	1496	1359	1152	1157	1624	2046	1912	1471	1981	1549	1983	1565	1577	
1882	1989	1073	0	1830	1396	1700	1935	1787	1215	1779	1149	1950	1520	1250	1499	1845	1148	1602	1978	1484	1124	1210	1560	1164	1655	1285	1372	1048	1304	1807	1621	
1407	1966	1547	1830	0	1350	1025	1729	1272	1220	1326	1596	2010	1575	1116	1581	1288	1657	1317	1096	1970	1561	1169	1404	1756	1339	1720	1617	2005	1353	1548	1915	
1418	1975	1199	1396	1350	0	1118	1622	1588	1279	1270	1515	1142	1316	1461	1140	1247	1290	1036	1927	1884	1162	1183	1324	1307	1614	1117	1161	1868	1458	1230	1518	
1820	1257	1480	1700	1025	1118	0	1389	1504	1430	1291	2011	2041	2024	1743	1141	1274	1942	1227	1177	1275	1664	1745	1479	1612	1791	1495	1586	1668	1888	1127	1735	
1860	1219	1709	1935	1729	1622	1389	0	1502	1319	1656	1052	1671	1540	1213	1920	1128	1908	1131	1934	2033	1727	1429	1632	1592	1092	2003	1083	1478	1067	1643	1254	
1637	1228	1605	1787	1272	1588	1504	1502	0	1475	1342	1969	1334	1425	1186	1241	1528	1607	1320	1330	1572	1792	2019	1972	1218	1082	1349	1145	1762	1722	1710	1604	
2017	1467	1171	1215	1220	1279	1430	1319	1475	0	1945	1731	1595	1440	1315	1072	1099	1097	1306	1190	1354	1533	1721	1070	1562	1967	1826	2030	1579	1694	1998	1611	
1772	1384	1918	1779	1326	1270	1291	1656	1342	1945	0	1487	1180	1714	1931	1875	1231	1477	1863	1835	1553	1810	1601	1422	1789	1893	1526	1248	1963	1897	1706	1501	
1570	1822	1716	1149	1596	1515	2011	1052	1969	1731	1487	0	1545	1473	1513	1134	2048	1522	1986	1799	1331	1764	1362	1198	1497	1563	2000	1173	1385	1115	1536	1991	
1313	1286	1340	1950	2010	1142	2041	1671	1334	1595	1180	1545	0	1165	1636	1555	1263	1788	1661	1512	1774	1434	1123	1085	1043	1676	1346	1357	1398	1121	1894	1363	
