32
0	1420	1255	1551	1469	1087	1342	1289	1667	1884	1291	1438	1505	1297	1404	1148	1316	1753	1882	2029	1306	1693	2034	1742	1322	1688	1714	1797	1128	1405	1525	1423	
1420	0	1790	1641	1158	1771	1153	1943	1228	1261	1290	1109	1395	1942	1721	1430	1029	1050	1188	1348	1436	1262	1863	1749	1244	1083	1992	1191	1108	1989	1073	1765	
1255	1790	0	1265	1762	1477	1466	1973	1840	1517	1572	1581	1557	1400	1669	1927	1413	1924	1124	1379	1694	1213	1917	1419	1302	1407	1174	1159	1999	1803	1996	1516	
1551	1641	1265	0	1098	1580	1909	1769	1114	1873	1675	1730	1533	1115	1233	1794	1184	1475	1140	2011	1686	1874	1563	1799	1540	1860	1958	1439	1406	1209	1393	1192	
1469	1158	1762	1098	0	1752	1449	1286	1507	1179	1113	1067	1285	1963	1957	1783	1560	1826	1117	1329	1947	1850	1160	1089	1617	1677	1933	1847	1440	1984	1537	1629	
1087	1771	1477	1580	1752	0	1529	1519	1795	1975	1095	1613	1433	1976	1568	2009	1364	1241	1843	1684	1333	1508	1982	1455	1910	1990	1164	1150	1738	1746	1474	1726	
1342	1153	1466	1909	1449	1529	0	1331	1127	1630	2017	2033	1692	1144	1205	1422	2031	1900	1805	1503	1026	1335	1168	1638	1384	1741	1099	1402	1383	1777	1198	1467	
1289	1943	1973	1769	1286	1519	1331	0	1277	1347	1685	1081	1231	1521	1041	1453	1592	1332	1375	1962	1785	1230	1143	1324	1443	1838	2035	1313	1928	1885	1314	1728	
1667	1228	1840	1114	1507	1795	1127	1277	0	1577	1610	1334	1961	1063	1737	1865	1292	1485	1074	1775	1890	1796	1661	1903	1224	1210	1227	1392	1670	1061	1264	1857	
1884	1261	1517	1873	1179	1975	1630	1347	1577	0	1365	1859	1556	1132	1370	2003	1243	1578	1781	1282	1183	1456	1372	1941	1804	1054	1070	1376	1954	1357	1678	1351	
1291	1290	1572	1675	1113	1095	2017	1685	1610	1365	0	1944	1849	1861	1596	2022	1887	1828	1639	1631	1118	1812	1801	1918	2027	1895	1220	1715	1482	1911	1211	1971	
1438	1109	1581	1730	1067	1613	2033	1081	1334	1859	1944	0	2012	1130	1355	1968	1542	1250	1530	1424	1301	1263	1102	1206	1473	1879	1938	1504	1511	1155	1806	1165	
1505	1395	1557	1533	1285	1433	1692	1231	1961	1556	1849	2012	0	1784	1817	1707	1141	1676	1652	1216	1078	1501	2002	1585	1919	1877	1431	1766	1214	1655	1706	1030	
1297	1942	1400	1115	1963	1976	1144	1521	1063	1132	1861	1130	1784	0	1352	1758	1650	1425	1034	1883	1221	1788	1354	1161	1842	1651	1858	1566	1819	1940	1303	1212	
1404	1721	1669	1233	1957	1568	1205	1041	1737	1370	1596	1355	1817	1352	0	1621	1935	1786	1327	1743	1922	1380	1539	1283	1195	1852	2007	1300	1998	1412	1573	2044	
1148	1430	1927	1794	1783	2009	1422	1453	1865	2003	2022	1968	1707	1758	1621	0	1071	1851	1486	1980	1734	1593	1579	1680	1774	1920	1756	1612	1810	1597	1994	1149	
1316	1029	1413	1184	1560	1364	2031	1592	1292	1243	1887	1542	1141	1650	1935	1071	0	1988	1827	1260	1888	1544	1135	1603	1991	1280	1187	1845	1717	1891	1754	1454	
1753	1050	1924	1475	1826	1241	1900	1332	1485	1578	1828	1250	1676	1425	1786	1851	1988	0	1767	1340	2030	1047	1421	1723	1643	1367	1368	1499	2014	1131	1813	1727	
1882	1188	1124	1140	1117	1843	1805	1375	1074	1781	1639	1530	1652	1034	1327	1486	1827	1767	0	2001	1535	1660	1735	1574	1929	1299	1180	1722	1513	1397	1245	1308	
2029	1348	1379	2011	1329	1684	1503	1962	1775	1282	1631	1424	1216	1883	1743	1980	1260	1340	2001	0	1326	1634	1225	1052	1793	1552	2036	1229	1288	1964	1681	1952	
