32
0	1910	1238	1199	1330	1378	1377	1578	1401	1168	1647	1509	1071	1059	1900	1430	1172	1049	1642	1501	1144	1566	1596	1325	1415	2048	1933	1188	1407	1055	1198	1877	
1910	0	1345	1283	1842	1890	1032	1651	1370	1335	1663	1248	1619	1950	1648	1676	1476	1148	1516	1568	1613	1879	1543	1579	1553	1606	2046	1781	1089	1250	1863	1836	
1238	1345	0	1612	1460	1926	1389	1562	1907	2023	1486	1499	2020	1572	1548	1948	1038	1064	1815	1452	1732	1035	1848	1074	1433	1757	1859	1645	1149	1712	1261	1167	
1199	1283	1612	0	1453	1109	1371	1795	1719	1716	1240	2015	1536	1525	1161	1517	1130	1463	1142	1620	1246	1980	1273	1329	1643	1997	1027	1658	1068	1655	1376	1286	
1330	1842	1460	1453	0	1245	1438	1750	1447	1265	1279	1621	1776	1053	1852	1583	1351	1180	1767	1766	1821	1147	1135	1592	1686	1700	1550	1927	1665	1480	1622	1239	
1378	1890	1926	1109	1245	0	1971	2004	1639	2016	1558	1052	1994	1299	1626	1073	1039	1366	1669	1420	1110	1747	1638	1431	1524	1538	1502	1201	1225	1979	1182	1911	
1377	1032	1389	1371	1438	1971	0	1760	1650	1178	1305	1056	1738	1390	1945	1051	1512	1080	1615	1674	1241	1205	1203	1726	1999	1802	1819	1974	1133	1503	1369	1920	
1578	1651	1562	1795	1750	2004	1760	0	1276	1684	1439	1602	1177	1310	1230	1770	1774	1940	1137	2021	1603	1529	1247	1584	1193	1567	1696	1321	1060	1796	1274	1582	
1401	1370	1907	1719	1447	1639	1650	1276	0	1847	1151	1840	1959	1058	1906	1474	1183	1484	1497	1672	1355	1623	1159	1914	1504	1737	1141	1331	1514	1970	1800	1943	
1168	1335	2023	1716	1265	2016	1178	1684	1847	0	1695	1311	1249	1500	1456	1334	1302	1117	1828	1404	1551	2001	1932	1667	1887	1593	1062	1826	1557	1734	1938	1391	
1647	1663	1486	1240	1279	1558	1305	1439	1151	1695	0	1079	1944	1703	1143	1427	1374	1120	1556	1412	1298	1440	1806	1409	1688	1291	1473	1057	1771	1654	1635	1947	
1509	1248	1499	2015	1621	1052	1056	1602	1840	1311	1079	0	1190	1297	1756	1094	1679	2044	1087	1485	1751	2014	1237	1227	1916	1405	1917	1694	2039	1336	1306	1293	
1071	1619	2020	1536	1776	1994	1738	1177	1959	1249	1944	1190	0	1211	1406	1179	1832	1041	1421	1850	1244	1226	1711	1644	1308	1955	1909	1779	2028	1528	1258	1428	
1059	1950	1572	1525	1053	1299	1390	1310	1058	1500	1703	1297	1211	0	1296	1090	2024	1918	1204	1755	1093	1554	1982	1985	1989	1164	2034	1267	1113	1936	1778	1831	
1900	1648	1548	1161	1852	1626	1945	1230	1906	1456	1143	1756	1406	1296	0	1396	1610	1946	1707	1534	1972	1977	1166	1372	1983	1402	1680	1618	1025	1162	1691	1992	
1430	1676	1948	1517	1583	1073	1051	1770	1474	1334	1427	1094	1179	1090	1396	0	1307	1491	1271	1270	1295	1617	1735	1978	1804	1546	1769	1984	1858	1689	1303	1786	
1172	1476	1038	1130	1351	1039	1512	1774	1183	1302	1374	1679	1832	2024	1610	1307	0	1150	1986	1896	1435	1289	1234	1384	1451	1791	1965	1367	1186	1029	1347	1921	
1049	1148	1064	1463	1180	1366	1080	1940	1484	1117	1120	2044	1041	1918	1946	1491	1150	0	1132	1470	1653	1398	2030	1934	1327	1181	1395	1790	1634	1359	1881	2038	
1642	1516	1815	1142	1767	1669	1615	1137	1497	1828	1556	1087	1421	1204	1707	1271	1986	1132	0	1354	1173	1789	1834	1288	1631	1704	1861	1527	1365	1363	1533	1599	
1501	1568	1452	1620	1766	1420	1674	2021	1672	1404	1412	1485	1850	1755	1534	1270	1896	1470	1354	0	1758	1222	1744	1542	2042	1185	1103	1496	1338	1400	1817	1745	
1144	1613	1732	1246	1821	1110	1241	1603	1355	1551	1298	1751	1244	1093	1972	1295	1435	1653	1173	1758	0	1112	1849	1318	1304	1457	1434	1585	1929	1294	1976	1855	
1566	1879	1035	1980	1147	1747	1205	1529	1623	2001	1440	2014	1226	1554	1977	1617	1289	1398	1789	1222	1112	0	1713	2010	1951	1392	1176	1813	1937	2043	1677	2007	
1596	1543	1848	1273	1135	1638	1203	1247	1159	1932	1806	1237	1711	1982	1166	1735	1234	2030	1834	1744	1849	1713	0	1882	2006	1998	1915	1708	1508	1660	1520	1814	
1325	1579	1074	1329	1592	1431	1726	1584	1914	1667	1409	1227	1644	1985	1372	1978	1384	1934	1288	1542	1318	2010	1882	0	1853	1145	2035	1746	1563	1118	1889	1555	
1415	1553	1433	1643	1686	1524	1999	1193	1504	1887	1688	1916	1308	1989	1983	1804	1451	1327	1631	2042	1304	1951	2006	1853	0	1873	1394	1344	1544	1350	1775	2032	
2048	1606	1757	1997	1700	1538	1802	1567	1737	1593	1291	1405	1955	1164	1402	1546	1791	1181	1704	1185	1457	1392	1998	1145	1873	0	1278	1895	2018	1339	1515	1988	
1933	2046	1859	1027	1550	1502	1819	1696	1141	1062	1473	1917	1909	2034	1680	1769	1965	1395	1861	1103	1434	1176	1915	2035	1394	1278	0	1236	1140	1752	1607	1216	
1188	1781	1645	1658	1927	1201	1974	1321	1331	1826	1057	1694	1779	1267	1618	1984	1367	1790	1527	1496	1585	1813	1708	1746	1344	1895	1236	0	1465	1733	1539	1268	
1407	1089	1149	1068	1665	1225	1133	1060	1514	1557	1771	2039	2028	1113	1025	1858	1186	1634	1365	1338	1929	1937	1508	1563	1544	2018	1140	1465	0	1362	1661	1228	
1055	1250	1712	1655	1480	1979	1503	1796	1970	1734	1654	1336	1528	1936	1162	1689	1029	1359	1363	1400	1294	2043	1660	1118	1350	1339	1752	1733	1362	0	1116	1357	
1198	1863	1261	1376	1622	1182	1369	1274	1800	1938	1635	1306	1258	1778	1691	1303	1347	1881	1533	1817	1976	1677	1520	1889	1775	1515	1607	1539	1661	1116	0	1773	
1877	1836	1167	1286	1239	1911	1920	1582	1943	1391	1947	1293	1428	1831	1992	1786	1921	2038	1599	1745	1855	2007	1814	1555	2032	1988	1216	1268	1228	1357	1773	0	
